Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
259,8,0.5013,14.04,408.9,0.03198,0.999679,"IL15 NPY1R TLR2 RNF150 TKTL2 ETFDH ASIC5 ZNF827"
260,32,0.5011,248.5,2389,0.09199,1.00000,"CCDC9 CGB2 PGLYRP1 SMG9 SYNGR4 TMEM160 PNMAL1 FLT3LG CA11 SLC8A2 NPAS1 PPP5C ELSPBP1 CCDC61 STRN4 NTN5 PLA2G4C CYTH2 KPTN TPRX1 GNG8 RSPH6A PNMAL2 CALM3 FKRP SPACA4 C5AR1 SULT2A1 SULT2B1 RASIP1 CRX DACT3"
261,7,0.5196,10.91,417.3,0.02468,0.999299,"C22orf31 DGCR8 PI4KA SERPIND1 TPST2 MTMR3 DGCR14"
262,26,0.5936,192.9,461.7,0.2730,0.666431,"PEX6 PEX19 PEX26 ACOX1 HSD17B4 PEX12 PEX13 PEX2 PEX3 SCP2 AMFR ACBD5 PEX1 PEX10 PEX14 PEX16 PEX5 SCD FAF2 SREBF1 TMEM41A ACSL3 C12orf49 MBTPS1 SCAP CYB5B"
263,5,0.5262,5.262,247.2,0.02005,0.996692,"TDRD10 TRH INPP5B C1orf174 ETV3"
264,6,0.5110,7.665,346.2,0.02095,0.998474,"SOCS7 AKAP7 KMO METTL24 TNFRSF8 AK9"
265,17,0.4658,63.35,941.7,0.06096,1.00000,"PCDHGB1 PCDHA5 PCDHGA5 PCDHA13 PCDHA7 PCDHA9 PCDHB16 PCDHGB3 PCDHGA7 PCDHA6 PCDHB15 PCDHA3 PCDHA4 PCDHGA10 PCDHB11 KLHL3 PCDHB7"
266,5,0.9475,9.475,166.8,0.05086,0.996692,"CSPG4 ADAMTS7 GOLGA6B GOLGA6L10 UBE2Q2L"
267,17,0.5007,68.10,1158,0.05402,1.00000,"COL24A1 NEGR1 MSH4 ITGB3BP CYR61 FPGT TYW3 CTH CRYZ HOOK1 USP33 SAMD13 GBP5 AK5 DNASE2B LRRC7 PLA2G12A"
268,4,0.6344,3.806,186.4,0.01920,0.992931,"FABP5 OR2M5 KRI1 OR52E8"
269,11,0.4831,26.57,211.1,0.1023,0.999909,"EXOC7 DENND4C RABIF EXOC5 STXBP3 RAB10 EXOC2 STX4 SNAP23 EXOC8 EXOC1"
270,20,0.5060,96.13,1342,0.06505,1.00000,"LHFPL5 ZNF76 UNC5CL CCDC167 FGD2 KCTD20 CLPSL2 TMEM217 MCEMP1 TCP11 SCUBE3 CPNE5 BRPF3 MDGA1 TBC1D22B PACSIN1 CLPS ETV7 ECHS1 ARMC12"
271,13,0.5349,41.72,294.7,0.1151,0.999980,"HAUS8 TUBGCP4 TUBG1 HAUS2 TACC3 KIF18A HAUS1 HAUS3 TUBGCP5 DHX9 HAUS5 HAUS4 HAUS6"
272,14,0.5028,45.76,912.7,0.04638,0.999997,"TOR3A LRRC52 MYOC NMNAT2 SELP ASTN1 SELL C1orf105 FMO3 GPA33 NME7 ATP1B1 PVRL4 TMCO1"
273,17,0.5125,69.70,277.0,0.1831,0.999830,"USE1 RAB3GAP1 INPP5K RINT1 BNIP1 YIPF5 C19orf25 RAB3GAP2 ATL2 NBAS RAB18 ZW10 STX18 TBC1D20 GOLT1B NAPG IER3IP1"
274,5,0.5049,5.049,279.9,0.01712,0.996692,"CACNG8 NEURL1B KRTAP5-11 TRPT1 CHST12"
275,6,0.8960,13.44,136.0,0.08325,0.998474,"UBE2R2 RNF7 ARIH2 CUL5 SENP8 UBE2F"
276,19,0.5034,86.09,1212,0.06441,1.00000,"SLC15A1 ZIC5 GAS6 TBC1D4 KCTD12 PIBF1 PCCA SLITRK5 ERCC5 TMTC4 ZIC2 BIVM COMMD6 GPR183 UCHL3 IRG1 CLYBL FBXL3 RAP2A"
277,6,0.5085,7.627,209.3,0.03332,0.998474,"UBASH3B PATE3 TECTA JAM3 PATE4 FEZ1"
278,15,0.5025,52.77,910.7,0.05311,0.999999,"IQCB1 TXNRD3NB KPNA1 CD96 CSTA SLC15A2 WDR5B FAM162A ABTB1 CD86 HCLS1 IFT57 KIAA1257 POLQ ILDR1"
279,9,0.5345,19.24,247.1,0.06766,0.999853,"MNAT1 SNAPC1 POLE2 SNAPC5 RPS29 PSMA3 LRR1 GTF2H1 PSMC6"
280,5,0.6654,6.654,93.42,0.06045,0.996692,"DYNLRB1 DYNC1LI2 DYNC1LI1 ACTR1A NDE1"
281,22,0.5068,117.1,1377,0.07612,1.00000,"PLCXD2 SIDT1 SLC9C1 OR5K3 CD96 ABHD10 WDR5B CCDC80 SLC35A5 ARHGAP31 BOC GCSAM IMPG2 LRRC58 LSAMP NXPE3 PHLDB2 TMPRSS7 ZBED2 CD200R1 GPR15 BTLA"
282,4,0.5581,3.349,53.91,0.05131,0.992931,"RBM12 SCAF8 CTNNBL1 CDK13"
283,96,0.4666,2127,3206,0.3850,1.92317e-06,"COX17 NDUFB5 GTPBP10 BCS1L COX15 DARS2 C17orf89 NDUFV2 GFM2 GRSF1 COX18 SCO2 NDUFAF3 NDUFS7 RTN4IP1 TIMMDC1 ACAD9 NDUFA9 CARS2 COA6 COA7 COQ3 COQ7 ECSIT FOXRED1 FTSJ2 GTPBP8 MTFMT MTO1 MTRF1L NDUFA10 NDUFA11 NDUFA2 NDUFA3 NDUFA6 NDUFA8 NDUFAF1 NDUFAF4 NDUFAF5 NDUFAF6 NDUFAF7 NDUFB10 NDUFB2 NDUFB3 NDUFB4 NDUFB6 NDUFB7 NDUFB8 NDUFB9 NDUFC1 NDUFC2 NDUFS1 NDUFS2 NDUFS3 NDUFS5 NDUFS8 NDUFV1 NUBPL PDSS1 PDSS2 PET117 PYURF RNMTL1 YBEY NDUFA5 COX14 COX5B TMEM261 COA5 COX4I1 UQCR10 PET100 UQCRFS1 SCO1 COX7C METTL17 COQ2 ISCA1 GLRX5 CYCS UQCRC1 COX19 COX6C COX6B1 UQCRQ CYC1 COX11 COQ4 NFU1 UQCRB COX16 UQCRC2 FASTKD5 IBA57 ISCA2 COX10"
284,8,0.5607,15.70,245.8,0.05657,0.999679,"MGAT1 MGAT5 CMAS MGAT2 MAN2A1 MAN1A2 C1GALT1 SLC39A9"
285,7,0.5085,10.68,254.5,0.03825,0.999299,"HTATIP2 KCNC1 MRGPRX1 USH1C SLC6A5 LIN7C ANO5"
286,10,0.5070,22.81,557.8,0.03798,0.999933,"ARHGEF16 TP73 PLEKHG5 PER3 H6PD GPR153 MTHFR CLSTN1 HES2 PHF13"
287,6,0.5001,7.501,307.4,0.02295,0.998474,"UBQLN1 TSN RALB UBXN4 TANC1 SMPD4"
288,9,0.5052,18.19,510.2,0.03328,0.999853,"MOGAT1 CHRNG WNT10A SLC11A1 COPS7B SPHKAP GPR55 B3GNT7 IHH"
289,11,0.5110,28.10,336.1,0.07277,0.999969,"MED11 MYBBP1A TRAPPC1 METTL16 PAFAH1B1 NUP88 TSR1 PELP1 RPA1 RPAIN DHX33"
290,29,0.5020,203.8,2045,0.08835,1.00000,"TFEB FRS3 SLC22A7 UNC5CL GNMT KLC4 MOCS1 OARD1 SPATS1 TJAP1 TMEM63B TTBK1 DLK2 POLH TMEM217 YIPF3 CPNE5 TREML4 TREM2 PRICKLE4 C6orf226 GUCA1A PRPH2 USP49 LRRC73 TDRD6 TSPO2 NCR2 FOXP4"
291,5,0.5940,5.940,77.84,0.06334,0.996692,"KCTD10 FBXO5 CUL3 ARIH1 UBE2L3"
292,33,0.4737,250.1,2166,0.1008,1.00000,"ALS2CL TMIE FAM107A LRRC2 PHF7 SCN11A CCR8 COL7A1 DALRD3 FYCO1 GNAT1 NISCH PFKFB4 SPINK8 TMEM110 UBA7 USP19 WDR6 CCDC71 ITIH4 KLHDC8B CISH CCR5 IQCF5 TRANK1 APEH PRKAR2A PRSS46 FAM212A LTF CCR2 GLT8D1 TOPAZ1"
293,7,0.5105,10.72,418.1,0.02420,0.999299,"CYP4X1 GJB4 RFX1 GJB3 EPHA2 MAP7D1 MUTYH"
294,5,0.5245,5.245,282.6,0.01761,0.996692,"LRRC16A FAM172A GZMK OR10K1 CD160"
295,20,0.5019,95.36,1329,0.06511,1.00000,"NTMT1 GOLGA1 WDR38 PIP5KL1 LCN8 USP20 ZNF79 CIZ1 CERCAM SLC27A4 TBC1D13 C9orf116 LCN2 ASB6 C9orf84 AK1 TOR1B PHYHD1 C9orf16 CACNA1B"
296,5,0.5528,5.528,193.4,0.02646,0.996692,"ABCA1 GPR21 NIPSNAP3B OR13D1 FAM154B"
297,8,0.6807,19.06,123.6,0.1202,0.999679,"GCN1L1 SLC3A2 TRPM7 SLC7A5 ASNS ATF4 EIF2AK4 SLC7A1"
298,22,0.5017,115.9,1638,0.06448,1.00000,"PPIB IGDCC3 TEX9 MYO5C BNIP2 KIAA0101 TLN2 MYZAP APH1B RHOV FOXB1 CYP19A1 AQP9 GNB5 USP50 SNX22 PYGO1 BCL2L10 TPM1 MYO5A PIGH PRTG"
299,6,0.5535,8.302,349.8,0.02243,0.998474,"SCML4 LRIG1 PRSS35 ZNF428 EDEM1 HTR1B"
300,18,0.4696,71.84,919.5,0.06993,1.00000,"ST7 CAV1 AASS CTTNBP2 FOXP2 TAS2R16 WNT16 WNT2 TES CPED1 PPP1R3A TSC22D4 TSPAN12 RNF148 CFTR ASZ1 KCND2 CAV2"
301,17,0.5003,68.04,773.6,0.07770,1.00000,"SQSTM1 BTNL8 CBY3 DOK3 GRM6 RASGEF1C UNC5A UIMC1 EIF4E1B PRR7 HMP19 MXD3 C5orf47 RUFY1 RAB24 CREBRF ZNF454"
302,4,0.5204,3.122,181.9,0.01618,0.992931,"CALB1 C8orf37 GUCY1A3 PTMA"
303,26,0.5041,163.8,1840,0.07970,1.00000,"FAAH MPL PODN B4GALT2 C1orf123 ERMAP CYB5RL HOOK1 CPT2 CCDC17 LURAP1 MROH7 C1orf177 SLC1A7 PCSK9 RAB3B BEST4 HPCAL4 ZYG11B TMEM61 MUTYH TCTEX1D4 BSND RPE65 GPX7 TMEM53"
304,5,0.5726,5.726,287.0,0.01891,0.996692,"IQSEC1 HOXD9 PPAPDC1A KIR3DL2 AHI1"
305,44,0.5013,474.2,3065,0.1307,1.00000,"TMEM256 ALOX12B SAT2 TMEM95 AIPL1 DRG2 RNF222 ARHGEF15 C17orf107 PIK3R5 STX8 KCTD11 DNAH9 TMEM88 ACADVL ALOXE3 CD68 CHRNB1 DNAH2 HES7 MFSD6L MINK1 RCVRN SHBG SLC2A4 SPEM1 TNFSF12 ALDH3A1 NDEL1 ODF4 SLC25A35 DHRS7C MYH1 RANGRF MYH2 WDR16 FBXO39 GLP2R MYH4 TMEM220 MYH8 PRPSAP2 C17orf59 SLC35G6"
306,22,0.5019,115.9,1540,0.06818,1.00000,"TBC1D19 CHRNA9 SEL1L3 SORCS2 WHSC1 S100P ZFYVE28 SH3BP2 SMIM14 SLC34A2 POLN UVSSA ADD1 CCKAR TLR6 TMEM156 WDR19 GRK4 NWD2 PCDH7 LGI2 PACRGL"
307,16,0.5025,60.31,897.2,0.06094,0.999999,"ECM2 FAM120A FBP1 FBP2 IDNK NFIL3 PHF2 ROR2 SHC3 ZNF169 ZNF782 FBXL17 S1PR3 OGN NTRK2 SPATA31D1"
308,4,0.5569,3.342,201.7,0.01569,0.992931,"TMEM8A DUSP8 ZFYVE21 CIB1"
309,7,0.5031,10.56,125.7,0.07032,0.999299,"EDF1 GIGYF2 EIF4E2 CNOT1 CAPRIN1 GGNBP2 CNOT11"
310,4,0.5285,3.171,163.3,0.01818,0.992931,"C10orf105 PITX1 PCDH12 AHR"
311,7,0.5033,10.57,342.2,0.02882,0.999299,"FNDC1 TRAPPC3L VNN2 PLG C6orf99 C6orf118 LPA"
312,5,0.5652,5.652,252.1,0.02111,0.996692,"COTL1 AGL ABHD13 TMEM56 LPPR4"
313,6,0.9881,14.82,148.6,0.08450,0.998474,"OR4N5 OR4M2 OR4N4 OR4Q3 OR4N2 RNF145"
314,5,0.5234,5.234,274.6,0.01806,0.996692,"CLEC4M ZNF561 RAB27B EPHA4 MGST3"
315,22,0.5001,115.5,1645,0.06403,1.00000,"LIPF OPN4 PALD1 PAPSS2 PPP1R3C GLUD1 SNCG ACTA2 LIPM STAMBPL1 ANKRD22 IDE MMRN2 RNLS SFXN2 LIPJ ADIRF IFIT1B FFAR4 CCNJ SLC16A12 LIPK"
316,5,0.5369,5.369,288.3,0.01768,0.996692,"TCERG1L TBC1D17 GNG8 BRAT1 KIAA2018"
317,8,0.5425,15.19,449.3,0.03162,0.999679,"KRTAP3-1 KRTAP12-2 NR4A3 GRP SLC44A1 CLCN6 OR6C70 BEND5"
318,4,0.5708,3.425,226.7,0.01438,0.992931,"GPR171 GFOD1 DPPA2 PPP4R2"
319,4,0.5135,3.081,190.3,0.01530,0.992931,"C3orf67 OTUD6B GUCA1B MKI67"
320,7,0.5524,11.60,230.5,0.04530,0.999299,"TECTA C11orf45 MFRP TBRG1 GRIK4 TRIM29 ARHGAP32"
321,6,0.5011,7.516,369.1,0.01934,0.998474,"TNFRSF19 GPR12 C3orf43 SST C1QTNF9 BTN3A2"
322,12,0.5079,33.52,330.0,0.08651,0.999986,"N4BP1 BCL10 BIRC2 IKBKB RELB CHUK TRAF3 NFKB2 CARD10 CCND2 TRAF2 CYLD"
323,5,0.5145,5.145,303.0,0.01617,0.996692,"PAM ZNF439 CATSPER2 GDA PCDHB5"
324,12,0.5413,35.73,355.0,0.08616,0.999986,"LUZP1 MYL6 MPRIP ROCK1 PAWR ROCK2 SPECC1L MYL12B PPP1R12A DAPK3 UNC45A MYH9"
325,61,0.5015,917.7,4423,0.1680,1.00000,"HPS1 APOBEC3G APOL1 BAIAP2L2 CBX6 CYTH4 FOXRED2 IL2RB KCTD17 MB MCHR1 MGAT3 PICK1 SLC25A17 SYNGR1 TNRC6B CACNA1I CBY1 MICALL1 BPIFC RNF185 ISX GATSL3 KDELR3 RFPL3 JOSD1 GAL3ST1 HORMAD2 NCF4 HMGXB4 SEC14L3 IFT27 APOL5 SH3BP1 MAFF TMPRSS6 SELM SLC5A1 SUN2 EMID1 NIPSNAP1 RFPL2 SEC14L6 C1QTNF6 SGSM1 ANKRD54 DNAL4 APOBEC3A C22orf23 DMC1 HMOX1 RASD2 SEC14L2 TEX33 PVALB RAC2 LGALS2 MFNG TRIOBP CARD10 APOBEC3D"
326,6,0.5029,7.544,357.9,0.01999,0.998474,"CXCL10 DMP1 PF4 RNF39 DCDC2 OLA1"
327,5,0.5676,5.676,333.2,0.01627,0.996692,"TJAP1 FAM26D RAPGEF3 PSMD12 ORM2"
328,33,0.5004,264.2,2400,0.09678,1.00000,"ANO6 LMBR1L LACRT ARF3 SLC38A4 CCDC184 KRT77 ASIC1 C12orf40 PUS7L VDR OR6C6 NR4A1 PRPF40B AMHR2 KCNH3 OR9K2 ZNF641 GRASP KRT86 FMNL3 GPD1 POU6F1 IKZF4 LALBA PRKAG1 ASB8 AQP6 HIGD1C YAF2 LIMA1 PRICKLE1 LARP4"
329,6,0.5269,7.904,383.5,0.01959,0.998474,"PIK3AP1 ZNF93 CHSY1 FAM169B TFF2 GLYATL1"
330,4,0.6281,3.769,191.0,0.01859,0.992931,"C11orf53 TENM3 OR8B2 IL6ST"
331,16,0.5007,60.09,763.7,0.07021,0.999999,"OR10H5 OR7C1 OR10H1 SLC1A6 OR7A5 PLVAP DDX39A PGLYRP2 CLEC17A ZNF333 OR7C2 OR10H2 CYP4F12 CYP4F22 OR10H3 CD97"
332,5,0.5116,5.116,223.9,0.02141,0.996692,"EEF1G LOXL1 CYP2J2 OSBP CDCA5"
333,15,0.5016,52.66,1125,0.04361,0.999999,"DNAAF3 ZNF256 ZNF880 LILRA4 ZNF610 FUZ ZNF587 VN1R4 ZNF548 BCAT2 ZNF665 ADIPOR1 VSTM1 ZNF816 ZIM3"
334,6,0.5019,7.529,365.4,0.01956,0.998474,"PDIK1L LARP1B GPR3 GRHL3 STPG1 LCK"
335,6,0.5025,7.537,343.8,0.02075,0.998474,"PSD2 PTPRR SLC41A3 PTPLB CNR2 LRP11"
336,9,0.5042,18.15,764.0,0.02269,0.999853,"MTFR1L ZNF436 CLCNKB WNT4 NPPA IFNLR1 ZNF611 TNFRSF1B OR4D10"
337,17,0.4755,64.67,433.8,0.1214,1.00000,"EIF5 CCNK SNW1 EIF2B2 NRDE2 WDR25 WARS YY1 BRF1 GTF2A1 DICER1 DYNC1H1 RBM25 DDX24 CINP CPSF2 PSMC1"
338,8,0.5056,14.16,530.7,0.02524,0.999679,"TACSTD2 CTBS C1orf87 MIER1 HOOK1 CLCA2 BSND CYP2J2"
339,4,0.5416,3.249,207.5,0.01486,0.992931,"FBXL2 WNT9B CNBD1 KRTAP5-2"
340,6,0.5048,7.573,373.3,0.01927,0.998474,"RCN3 HSPBP1 PDGFB OR4S1 FIZ1 TNNI3"
341,7,0.5003,10.51,364.7,0.02700,0.999299,"KIAA1598 ARHGEF18 LCOR AFAP1L2 PRDX3 C10orf12 FAM160B1"
342,4,0.5653,3.392,116.3,0.02656,0.992931,"MFF PPP4R1 AFG3L2 DNM1L"
343,4,0.5688,3.413,93.87,0.03241,0.992931,"PIAS1 UBA2 COPE SUMO2"
344,8,0.5152,14.42,177.0,0.06955,0.999679,"TCF7L2 DENND4C RABIF GATA6 RAB10 UBE2Z CTNNB1 EXOC8"
345,4,0.8004,4.802,50.22,0.07620,0.992931,"PSMB6 FBXO7 THAP1 PSMB5"
346,4,0.5282,3.169,210.4,0.01431,0.992931,"IL3 CYTH1 CPLX2 PPRC1"
347,5,0.5961,5.961,267.8,0.02101,0.996692,"SLC30A7 FYN OR4K17 MMAA MYCT1"
348,8,0.5030,14.08,505.4,0.02630,0.999679,"RAB4B CYP2S1 C19orf54 HIPK4 AXL SERTAD3 NUMBL CIC"
349,4,0.5244,3.146,133.6,0.02173,0.992931,"PITX1 C6orf120 FYTTD1 AHR"
350,6,0.5188,7.781,186.7,0.03769,0.998474,"TRPM5 ASCL2 MRGPRE C11orf21 TNNI2 INS"
351,6,0.5003,7.504,415.9,0.01724,0.998474,"PSTPIP2 ONECUT3 SIGLEC15 CREG1 TCEB3CL2 C1orf43"
352,4,0.6565,3.939,224.0,0.01669,0.992931,"GMPR PMM1 THAP4 TMEM14C"
353,5,0.5021,5.021,220.9,0.02129,0.996692,"NUPL1 IL5RA CAPN7 SLC6A11 TMEM209"
354,5,0.5667,5.667,308.8,0.01746,0.996692,"SNX3 TM4SF1 CCRL2 RARRES1 TSPAN1"
355,6,0.5059,7.589,371.4,0.01941,0.998474,"RABL2A ZNF2 IL36RN FGF2 EVC ZNF254"
356,11,0.5057,27.82,708.7,0.03667,0.999969,"SGTB CYP4Z1 ESM1 RGS7BP CD180 C5orf64 THBS4 RNF180 ERBB2IP SLCO6A1 TRIM23"
357,7,0.7519,15.79,180.5,0.07510,0.999299,"GSK3B GSK3A GSKIP UBALD2 UBALD1 RANBP3 FOXK1"
358,6,0.5055,7.582,353.8,0.02031,0.998474,"CP TNFSF15 AFAP1L1 C10orf67 OR8H2 OR5T3"
359,5,0.5236,5.236,250.5,0.01971,0.996692,"SLAMF9 OR6V1 SCARB2 PBX1 MLPH"
360,5,0.5492,5.492,272.0,0.01910,0.996692,"SGMS2 LARP1B RASAL1 SLCO6A1 NMUR2"
361,19,0.5003,85.55,1219,0.06374,1.00000,"BCAS3 PRKCA ABCA8 C17orf58 CACNG1 CACNG4 EFCAB3 NT5C PLEKHM1 RHBDF2 SSTR2 ENDOV MRC2 RNFT1 USP32 LIMD2 CYB561 C17orf82 APPBP2"
362,14,0.5457,49.66,369.2,0.1111,0.999996,"ZNHIT1 H2AFZ ACTR6 KANSL1 ING3 VPS72 ACTL6A DMAP1 SRCAP YEATS4 KANSL2 KANSL3 KDM2A BRD2"
363,37,0.4696,312.7,507.4,0.3498,0.0251880,"MTHFD1 MTR DLST ADSL GMPS TFRC PGM3 PPCDC ADSS NMNAT1 RPIA ATIC CAD CTPS1 DHFR DHFRL1 DHODH FPGS GART GFPT1 IMPDH2 IPPK NAMPT OGDH PAICS PFAS PPAT RFK SDHA SDHB SLC4A7 TKT TRPM7 UMPS UXS1 SLC7A5 TYMS"
364,29,0.4583,186.1,1138,0.1346,1.00000,"CDK10 SPG7 PIEZO1 C16orf95 CBFA2T3 MC1R DPEP1 CYBA ZNF778 GAS8 ZNF276 DBNDD1 KCNG4 MTHFSD TUBB3 KLHDC4 VPS9D1 CPNE7 SPATA33 SNAI3 CENPBD1 SPIRE2 DEF8 GALNS APRT ZFPM1 TCF25 PRDM7 SPATA2L"
365,5,0.5162,5.162,311.1,0.01583,0.996692,"PER3 AGPAT3 CLEC11A PHF20L1 FAR1"
366,5,0.5547,5.547,331.8,0.01597,0.996692,"ADCY1 DAO RASAL1 LDLRAD2 ATP6V0E1"
367,6,0.5170,7.755,207.3,0.03416,0.998474,"CRP CNOT4 GCLM SRRD UBAP2L PLAC8"
368,15,0.5048,53.00,1216,0.04079,0.999999,"FCGRT HSD17B14 SIGLEC10 VSIG10L ZNF880 ETFB SIGLEC12 ZNF610 LIM2 FAM71E1 KLK2 ARHGEF1 NAPSA NTF4 KLK3"
369,18,0.5021,76.82,1127,0.06196,1.00000,"DVL3 SERPINI1 SI CLDN11 B3GNT5 SLITRK3 SLC7A14 ACTRT3 GHSR NCEH1 NLGN1 SLC2A2 LRRC31 LRRC34 BCHE GPR160 SKIL VWA5B2"
370,7,0.5192,10.90,176.7,0.05408,0.999299,"USP38 DDI2 AKIRIN1 TXNL1 NGLY1 IPO9 RAD23B"
371,22,0.4792,110.7,1327,0.07469,1.00000,"SERPINI1 SI PLD1 CLDN11 SLITRK3 SAMD7 SCHIP1 SLC7A14 ACTRT3 GHSR NLGN1 PHC3 SLC2A2 LRRC31 LRRC34 SERPINI2 KLF7 BCHE GPR160 LRRIQ4 SKIL IL12A"
372,22,0.5009,115.7,1522,0.06879,1.00000,"ENAM CDS1 ARL9 CDKL2 PARM1 C4orf36 C4orf26 NAA11 RUFY3 GK2 HPSE CXCL3 TMPRSS11B C4orf22 SH3D19 TMEM150C FAM47E STAP1 AMBN CCNI SEPT11 SPARCL1"
373,5,0.5564,5.564,239.5,0.02182,0.996692,"MN1 CHID1 LGR4 GSC2 MRGPRG"
374,9,0.5258,18.93,431.7,0.04039,0.999853,"PDIA4 ZNF467 TMEM176B ZNF783 ZNF425 ATG4C HTR5A DENND2A TAS2R40"
375,6,0.5009,7.513,317.3,0.02231,0.998474,"C9orf156 CPEB2 ILVBL HOOK2 IMMP1L ME3"
376,4,0.5565,3.339,202.5,0.01561,0.992931,"KLLN CCBE1 NRG3 CBLN2"
377,5,0.5333,5.333,117.1,0.04026,0.996692,"RBM39 DCTN5 PLK1 NDUFAB1 SF3B2"
378,6,0.5000,7.500,266.2,0.02626,0.998474,"R3HDM4 CAPS GADD45B AZIN1 PRDM1 OAZ1"
379,58,0.5003,827.0,4403,0.1547,1.00000,"APOL1 CBX6 CYTH4 FOXRED2 MB MCHR1 PICK1 SYNGR1 TNRC6B CACNA1I CBY1 SYN3 MICALL1 RNF185 ISX GATSL3 KDELR3 LIF RFPL3 GAL3ST1 HORMAD2 LRRC75B ZNF74 HMGXB4 SEC14L3 APOL5 SH3BP1 TBC1D10A SELM SLC5A1 SUN2 EMID1 C22orf31 NIPSNAP1 MORC2 RFPL2 SEC14L6 SGSM1 KREMEN1 SEC14L4 CCDC157 DMC1 HMOX1 OSBP2 RASD2 RGL4 SEC14L2 LIMK2 TEX33 PLA2G3 PVALB RAC2 TCN2 RFPL1 MFNG TRIOBP APOBEC3D RNF215"
380,5,0.5708,5.708,263.9,0.02042,0.996692,"KCNJ13 MEIS3 KCNJ14 BCAM ATP2B1"
381,5,0.5395,5.395,236.6,0.02141,0.996692,"SLC16A1 TMEM63A FGR FAM71F1 TMEM218"
382,5,0.5217,5.217,321.6,0.01549,0.996692,"CLOCK GP5 ARNTL CCDC129 CLEC7A"
383,15,0.5015,52.66,696.2,0.06761,0.999999,"APOA1 SNX19 VPS26B ZNF202 C11orf45 ACAD8 ABCG4 ADAMTS15 DSCAML1 IGSF9B MFRP SPATA19 THYN1 GLB1L3 GRIK4"
384,8,0.5146,14.41,306.0,0.04282,0.999679,"ZNF202 ABCG4 C2CD2L FAM118B NLRX1 OR6X1 PANX3 VSIG2"
385,30,0.4792,208.4,1617,0.1105,1.00000,"BCAS3 EFCAB3 CUEDC1 MRC2 PCTP RNFT1 TBX2 TOM1L1 LIMD2 YPEL2 EPX GDPD1 LPO SCPEP1 MPO C17orf67 MKS1 MTMR4 OR4D1 RSAD1 C17orf82 OR4D2 SEPT4 ANKFN1 RNF43 TEX14 PPM1E BZRAP1 DGKE COIL"
386,5,0.5661,5.661,261.2,0.02045,0.996692,"NPY1R RAX FKBP3 TACR3 NUFIP1"
387,5,0.5169,5.169,288.5,0.01702,0.996692,"CCDC28A CMTM7 C10orf113 GPATCH11 UBE3A"
388,5,0.5167,5.167,142.6,0.03275,0.996692,"CD46 SLC22A18AS CR1 CR1L MR1"
389,5,0.5049,5.049,317.5,0.01518,0.996692,"TMEM244 CTGF MAN2A2 CSRNP3 L3MBTL3"
390,6,0.5190,7.785,291.8,0.02498,0.998474,"AADAT GLRA3 RBM46 TMEM144 ADAD1 ETFDH"
391,13,0.5018,39.14,239.6,0.1284,0.999993,"MED24 MED1 TOE1 USPL1 MED26 MED9 ICE2 ELL MED19 MED25 MED16 MED8 EAF1"
392,13,0.5044,39.35,797.7,0.04559,0.999993,"CLCA4 COL24A1 PTGER3 HFM1 WDR63 GBP3 GBP6 SAMD13 ZNF326 TTLL7 MCOLN3 GBP5 LRRC39"
393,54,0.5000,715.5,3569,0.1629,1.00000,"KIFC3 LONP2 PRSS54 HSD11B2 CES5A CMTM4 CA7 MT3 MT4 RSPRY1 ABCC11 ABCC12 C16orf78 C16orf87 CBLN1 CCDC135 CCL22 CDH16 CETP CPNE2 CX3CL1 GPR114 IRX6 MMP2 MT1B MT1F NLRC5 PDP2 PLLP RBL2 SALL1 SHCBP1 SLC12A3 SLC38A7 TEPP BBS2 C16orf70 CAPNS2 CES1 CES3 CMTM1 GPR56 GPR97 GPT2 TMED6 USB1 ZNF19 ZNF319 CCDC113 CCDC102A CCL17 MMP15 SLC6A2 TPPP3"
394,27,0.4773,167.5,1515,0.09647,1.00000,"MLIP TFAP2D ICK MEP1A CRISP2 GPR110 PAQR8 RHAG GFRAL CRISP1 PKHD1 FBXO9 IL17A OPN5 KLHL31 MUT HCRTR2 ZNF451 DEFB114 BAG2 GSTA3 LRRC1 GSTA1 DEFB112 IL17F RAB23 GLYATL3"
395,32,0.5019,248.9,2189,0.09949,1.00000,"HAP1 KLHL10 FKBP10 PLEKHH3 PIP4K2B RDM1 ARL5C GSDMB DHRS11 SYNRG GPR179 KLHL11 PGAP3 PLXDC1 PPP1R1B CSF3 PCGF2 MLLT6 CISD3 TMSB10 DUSP14 LASP1 C17orf96 GAS2L2 LRRC3C ZPBP2 CACNB1 FBXO47 PROSER1 SRCIN1 C17orf78 JUP"
396,16,0.5018,60.21,1012,0.05451,0.999999,"SLC10A2 SLC15A1 ZIC5 GAS6 FGF14 ADPRHL1 PCCA TPP2 ERCC5 ZIC2 RCBTB1 BIVM RAB20 GPR183 CLYBL RAP2A"
397,5,0.5449,5.449,293.9,0.01761,0.996692,"GLO1 MT1M HSBP1L1 FRA10AC1 SLMO1"
398,10,0.5000,22.50,677.2,0.03127,0.999933,"EVA1B C1orf216 SDC3 SRSF4 ERMAP MOB3C ZBTB8B PTAFR TMEM39B ROR1"
