Rank,Module genes,Cancer type,p,FDR
117,"ESR1, FOXA1, GATA3, LMX1B, SPDEF, TRPS1",Autonomic ganglia,1.39E-07,3.44E-05
118,"ACY3, ADRBK1, ALDH3B2, ANO1, AP5B1, B3GNT1, BBS1, BRMS1, C11orf24, C11orf80, C11orf86, CABP2, CABP4, CARNS1, CCDC36, CCDC85B, CCDC87, CD248, CDK2AP2, CHKA, CLCF1, CNIH2, CORO1B, CPT1A, CST6, CTSF, CTSW, DHCR7, DPP3, EFEMP2, FGF19, FGF4, FOLR1, FOLR2, GAL, GAL3ST3, GPHA2, GPR152, GSTP1, IGHMBP2, IL18BP, INPPL1, KCNK7, KLC2, KRTAP5-9, LRFN4, LRP5, MAP3K11, MAP4K2, MRGPRD, MRGPRF, MTL5, MYEOV, NADSYN1, NPAS4, NUDT8, P2RY6, PACS1, PC, PCNXL3, PDE2A, PELI3, PHOX2A, PITPNM1, POLD4, PPP1CA, PYGM, RAB1B, RCE1, RELA, RHOD, RIN1, RPS6KB2, SIPA1, SLC29A2, SNX32, SPTBN2, SSH3, STARD10, SYT12, TBC1D10C, TBX10, TCIRG1, TMEM134, TMEM151A, TPCN2, YIF1A, ZDHHC24",Autonomic ganglia,1.45E-07,3.44E-05
119,"ACTB, ACTG1, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC4, BTBD9, CDC42, CORO1C, CRB3, CTNNA1, CUL3, DAPK3, DIAPH3, DLG5, ECT2, F11R, FAM129B, FAM49B, FHL2, FLII, FRYL, GNA13, ILK, INADL, IQGAP1, KCTD10, KIF20A, KIRREL, LATS2, LLGL2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PFN1, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN14, RAB35, RALGAPB, RAP1GDS1, RAP2B, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, SAV1, SPECC1L, SPTBN1, SPTSSA, SRF, STK17B, TAOK1, TAOK2, TJP1, TMOD3, TP53BP2, VCL, WWC1, WWTR1",Kidney,1.90E-07,0.000108
120,"ACTL6A, LSG1, NMD3, POLR2H, RFC4",Autonomic ganglia,1.93E-07,4.38E-05
121,"ACTB, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC4, BCAR1, BTBD9, CDC42, CRB3, CRKL, CTNNA1, CUL3, DAPK3, DLG5, F11R, FAM49B, FERMT2, FHL2, FRYL, GNA13, ILK, INADL, IQGAP1, ITGAV, KCTD10, KIRREL, LATS2, LLGL2, LPAR2, LRRFIP2, LUZP1, MAP4K4, MKL2, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN14, RAC1, RALGAPB, RAP1GDS1, RAP2B, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, RSU1, S1PR2, SAV1, SPECC1L, SPTSSA, STK17B, STK24, TAOK1, TAOK2, TJP1, TMOD3, TP53BP2, VCL, WWC1, WWTR1, YWHAE, YWHAG, YWHAQ, YWHAZ",Kidney,1.96E-07,0.000108
122,"ACTB, ADCY6, AHR, AIP, AMOTL2, ANKMY2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARNT, ARPC4, BTBD9, CAND1, CDC42, COL4A3BP, CORO1C, CRB3, CTNNA1, CUL3, DAPK3, DLG5, F11R, FAM129B, FAM49B, FHL2, FRYL, GNA13, HSP90AB1, HSPA4, ILK, INADL, IQGAP1, ITGAV, KCTD10, KIRREL, KLF6, LATS2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKACA, PRKCI, PTGES3, PTK2, PTPN14, RAC1, RALGAPB, RAP1GDS1, RAP2B, RASAL2, RASSF8, RHOA, RHOC, RIC8A, RNF146, ROCK1, ROCK2, SAV1, SPECC1L, SPTSSA, STIP1, STK17B, STK24, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TMOD3, TP53BP2, TRIO, VCL, WWC1, WWTR1",Kidney,2.04E-07,0.000108
123,"FAM49A, MYCN, MYOD1, MYOG, PAX3, SLC35E3, SOX8, ZBTB18",Soft tissue,2.21E-07,0.001157
124,"ABI1, ACTR2, ACTR3, AJUBA, AMOTL2, ANKS3, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD3, CCNE1, CDC42, CDH1, CDH2, CERS2, CHUK, COL4A3BP, CRB3, CRK, CRKL, CSNK2A1, CTNNA1, CTNND1, DLG5, DOCK5, ELMO2, F11R, FAM49B, FERMT1, FERMT2, FNDC3B, FRYL, GNA13, HNF1B, ILK, INADL, IQGAP1, IRF6, ITGA3, ITGAV, ITGB1, ITGB5, KIDINS220, KIRREL, KLF6, KMT2D, LATS2, LIMS1, LLGL2, LPAR1, LPAR2, MAP4K4, MARK2, MARK3, MECOM, MESDC2, MLLT4, MOB4, MPP5, MYO10, MYO9B, NCKAP1, NF2, NRP1, PAK2, PAK4, PARD3, PARD6B, PARVA, PAX8, PDCD10, PDCL, PHACTR4, PIGW, PKN2, PLXNA1, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAB11FIP1, RAC1, RALGAPB, RAPGEF1, RAPGEF2, RAPH1, RASAL2, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, RSU1, SAV1, SGK223, SPTLC2, SPTSSA, TAOK1, TAX1BP3, TEAD1, TJP1, TLN1, TNS3, TP53BP2, TRIO, VCL, WASF2, WWTR1, XPR1, YES1",Kidney,2.23E-07,0.000108
125,"ACTB, ACTR2, ACTR3, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CORO1C, CRB3, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, F11R, FAM129B, FAM49B, FERMT2, FHL2, FLII, FRYL, GNA13, ILK, INADL, IQGAP1, ITGAV, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LLGL2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN12, PTPN14, RAB35, RAC1, RALGAPB, RAP1GDS1, RAP2B, RAPGEF1, RAPH1, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, RSU1, SAV1, SPECC1L, SPTSSA, STK17B, STK24, TAOK1, TAOK2, TJP1, TLN1, TMOD3, TNS3, TP53BP2, TRIO, UNC45A, VCL, WWC1, WWTR1, YWHAE",Kidney,2.27E-07,0.000108
126,"ACTB, ACTG1, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC4, BTBD9, CDC42, CORO1C, CRB3, CTNNA1, CUL3, DAPK3, DIAPH3, DLG5, ECT2, F11R, FAM129B, FAM49B, FHL2, FLII, FRYL, GNA13, ILK, INADL, IQGAP1, KCTD10, KIF20A, KIRREL, LATS2, LLGL2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PFN1, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN14, RAB35, RALGAPB, RAP1GDS1, RAP2B, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, SAV1, SPECC1L, SPTBN1, SPTSSA, SRF, STK17B, TAOK1, TAOK2, TJP1, TMOD3, TP53BP2, VCL, WWC1, WWTR1",Thyroid,2.70E-07,7.41E-05
127,"ACTB, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC4, BCAR1, BTBD9, CDC42, CRB3, CRKL, CTNNA1, CUL3, DAPK3, DLG5, F11R, FAM49B, FERMT2, FHL2, FRYL, GNA13, ILK, INADL, IQGAP1, ITGAV, KCTD10, KIRREL, LATS2, LLGL2, LPAR2, LRRFIP2, LUZP1, MAP4K4, MKL2, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN14, RAC1, RALGAPB, RAP1GDS1, RAP2B, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, RSU1, S1PR2, SAV1, SPECC1L, SPTSSA, STK17B, STK24, TAOK1, TAOK2, TJP1, TMOD3, TP53BP2, VCL, WWC1, WWTR1, YWHAE, YWHAG, YWHAQ, YWHAZ",Thyroid,2.79E-07,7.41E-05
128,"ABI1, ACTB, ACTR2, ACTR3, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CORO1C, CRB3, CRK, CRKL, CTNNA1, CUL3, DAPK3, DIAPH1, DLG5, FAM129B, FAM49B, FHL2, FLII, FRYL, GNA13, ILK, IQGAP1, KCTD10, KIRREL, LATS2, LLGL2, LRRFIP2, LUZP1, MAP4K4, MKL2, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PDCD10, PDLIM7, PFN1, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN14, RAC1, RALGAPB, RAP1GDS1, RAP2B, RHOA, RHOC, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SIAH1, SPECC1L, SRF, STK17B, STK24, TAOK1, TAOK2, TJP1, TMOD3, TP53BP2, TRIO, VCL, WASF2, WWC1, WWTR1, XPO6, YWHAE",Thyroid,2.85E-07,7.41E-05
129,"ACTB, ADCY6, AHR, AIP, AMOTL2, ANKMY2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARNT, ARPC4, BTBD9, CAND1, CDC42, COL4A3BP, CORO1C, CRB3, CTNNA1, CUL3, DAPK3, DLG5, F11R, FAM129B, FAM49B, FHL2, FRYL, GNA13, HSP90AB1, HSPA4, ILK, INADL, IQGAP1, ITGAV, KCTD10, KIRREL, KLF6, LATS2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKACA, PRKCI, PTGES3, PTK2, PTPN14, RAC1, RALGAPB, RAP1GDS1, RAP2B, RASAL2, RASSF8, RHOA, RHOC, RIC8A, RNF146, ROCK1, ROCK2, SAV1, SPECC1L, SPTSSA, STIP1, STK17B, STK24, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TMOD3, TP53BP2, TRIO, VCL, WWC1, WWTR1",Thyroid,2.91E-07,7.41E-05
130,"ACTB, ACTR3, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH2, ARPC4, BCAR1, BCAR3, BTBD9, CAB39, CAND1, CDC42, CRK, CRKL, CUL3, CUL5, DCUN1D3, DLG5, DOCK5, ELMO2, EPT1, FAM49B, FERMT2, FHL2, FRMD6, FRYL, GNA13, HSP90B1, ILK, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KCTD10, KCTD5, KIRREL, LATS2, LIMS1, LPAR1, MAP4K4, MARK2, MARK3, MESDC2, MGRN1, MOB4, MYO10, MYO9B, NCKAP1, NF2, NRP1, PAK2, PARVA, PDCD10, PICALM, PKN2, PLXNA1, PPM1F, PTEN, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RHOA, RHOG, RIC8A, RNF146, RNF7, RSU1, SAV1, SENP8, SGK223, STK24, STK38, TAOK1, TAOK2, TEAD1, TLN1, TNS3, TP53BP2, TRIO, TSC1, TSC2, UBE2F, UBE2R2, VCL, WWC1, WWTR1, YES1",Thyroid,2.93E-07,7.41E-05
131,"ABI1, ACTB, ACTR2, ACTR3, AHR, AIP, AMOTL2, ANKMY2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARNT, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, FAM129B, FAM49B, FERMT2, FHL2, FRYL, GNA13, HSP90AB1, HSPA4, ILK, IQGAP1, ITGAV, ITGB5, KCTD10, KIRREL, KLF6, LATS2, LIMS1, LPAR1, LUZP1, MAP4K4, MARK2, MLLT4, MOB4, MPRIP, MYL6, MYO9A, MYO9B, NCKAP1, NF2, NRP1, PARD3, PARD6B, PARVA, PAWR, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RHOA, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SGK223, SPECC1L, STIP1, STK24, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TLN1, TNS3, TP53BP2, TRIO, VCL, WASF2, WWC1, WWTR1, YES1",Thyroid,3.02E-07,7.41E-05
132,"ACTB, ACTG1, ACTR2, ACTR3, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH1, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CAND1, CAP1, CCNC, CDC42, CFL1, CORO1C, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, FAM129B, FAM49B, FERMT2, FHL2, FRYL, GNA13, ILK, IQGAP1, ITGAV, ITGB1, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LPAR1, LUZP1, MAP4K4, MARK2, MLLT4, MOB4, MPP5, MPRIP, MYL6, MYO9A, MYO9B, NCKAP1, NF2, NRP1, PAK2, PARD3, PARD6B, PARVA, PAWR, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RHOA, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SPECC1L, STK24, TAOK1, TAOK2, TEAD1, TJP1, TLN1, TMOD3, TNS3, TP53BP2, TRIO, VCL, WDR1, WWC1, WWTR1, YES1",Thyroid,3.05E-07,7.41E-05
133,"ABI1, ACTB, ACTR2, ACTR3, AHR, AIP, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH1, ARNT, ARPC2, ARPC3, ARPC4, BCAR1, BCAR3, BRK1, BTBD3, BTBD9, CAB39, CAND1, CD151, CD44, CDC42, CDH1, CDH2, CMIP, COL4A3BP, COMMD3, CRB3, CRK, CRKL, CSK, CTNNA1, CTNND1, CUL3, CYFIP1, DAPK3, DLG5, DOCK5, ELMO2, ELMO3, F11R, FAM49B, FERMT1, FERMT2, FGFR1OP2, FHL2, FRMD6, FRYL, GNA13, GNB1, HSP90B1, ILK, INADL, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KCTD10, KCTD5, KIRREL, KLF6, LATS2, LIMS1, LLGL2, LPAR1, MAP4K4, MARK2, MARK3, MESDC2, MLLT4, MOB2, MOB4, MPP5, MYO10, MYO9A, MYO9B, NCKAP1, NF2, NRBP1, NRP1, PAK2, PAK4, PARD3, PARD6B, PARVA, PAWR, PAX8, PDCD10, PDCL, PI4KB, PKN2, PLXNA1, PPM1F, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RASSF8, RHOA, RHOG, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SGK223, SLMAP, SNX17, SPTLC2, SPTSSA, SRC, STIP1, STK11, STK24, STK38, STRIP1, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TLN1, TNS3, TP53BP2, TRIO, TSC22D2, VASP, VCL, WASF2, WNK1, WWC1, WWTR1, XPR1, YES1",Kidney,3.07E-07,0.000134
134,"ABI1, ACTB, ACTR2, ACTR3, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CDH2, COL4A3BP, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, FAM129B, FAM49B, FERMT2, FHL2, FRYL, GNA13, ILK, IQGAP1, ITGAV, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LPAR1, LUZP1, MAP4K4, MARK2, MARK3, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO10, MYO9A, MYO9B, NCKAP1, NF2, NRP1, NUAK2, PAK2, PARD3, PARD6B, PARVA, PAWR, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RHOA, RHOC, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SGK223, SPECC1L, SPTSSA, STK17B, TAOK1, TAOK2, TEAD1, TJP1, TLN1, TMOD3, TNS3, TP53BP2, TRIO, VCL, WWC1, WWTR1, YES1, YWHAE",Thyroid,3.20E-07,7.41E-05
135,"ACTB, ACTR2, ACTR3, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF18, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD9, CDC42, CORO1C, CRB3, CRK, CRKL, CTNNA1, CUL3, DAPK3, DLG5, DOCK5, ELMO2, F11R, FAM129B, FAM49B, FERMT2, FHL2, FLII, FRYL, GNA13, ILK, INADL, IQGAP1, ITGAV, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LLGL2, LRRFIP2, LUZP1, MAP4K4, MLLT4, MOB4, MPP5, MPRIP, MYH9, MYL12B, MYL6, MYO9A, MYO9B, NCKAP1, NEURL4, NF2, NRP1, NUAK2, PARD3, PARD6B, PAWR, PAX8, PDCD10, PDLIM7, PKN2, PLXNA1, PPP1R12A, PPP1R12C, PRKCI, PTK2, PTPN12, PTPN14, RAB35, RAC1, RALGAPB, RAP1GDS1, RAP2B, RAPGEF1, RAPH1, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, ROCK1, ROCK2, RSU1, SAV1, SPECC1L, SPTSSA, STK17B, STK24, TAOK1, TAOK2, TJP1, TLN1, TMOD3, TNS3, TP53BP2, TRIO, UNC45A, VCL, WWC1, WWTR1, YWHAE",Thyroid,3.23E-07,7.41E-05
136,"ASH1L, ESR1, FOXA1, GATA3, GRHL2, LDB1, LMX1B, RARA, SEPHS1, SPDEF, TFAP2A, TFAP2C, TRPS1, ZNF652",Autonomic ganglia,3.23E-07,7.05E-05
137,"ABI1, ACTB, ACTR2, ACTR3, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH2, ARPC2, ARPC3, ARPC4, BCAR1, BCAR3, BRK1, BTBD9, CAB39, CAND1, CDC42, CDH2, COL4A3BP, CRK, CRKL, CTNNA1, CUL3, CUL5, DCUN1D3, DLG5, DOCK5, ELMO2, EPHA2, ERRFI1, FAM49B, FERMT2, FHL2, FRMD6, FRYL, GNA13, HSP90B1, ILK, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KCTD10, KIRREL, LATS2, LIMS1, LPAR1, MAP4K4, MARK2, MARK3, MESDC2, MLLT4, MOB4, MYO10, MYO9B, NCKAP1, NF2, NRP1, PAK2, PARD3, PARD6B, PARVA, PDCD10, PICALM, PKN2, PLXNA1, PPM1F, PTEN, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RHOA, RHOG, RIC8A, RNF146, RNF7, RSU1, SAV1, SENP8, SGK223, SPTSSA, SRGAP1, TAOK1, TAOK2, TEAD1, TJP1, TLN1, TNS3, TP53BP2, TRIO, UBE2F, UBE2R2, VCL, WASF2, WWC1, WWTR1, YAP1, YES1",Thyroid,3.26E-07,7.41E-05
138,"ABI1, ACTR2, ACTR3, AJUBA, AMOTL2, ANKS3, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARPC2, ARPC3, ARPC4, BCAR1, BRK1, BTBD3, CCNE1, CDC42, CDH1, CDH2, CERS2, CHUK, COL4A3BP, CRB3, CRK, CRKL, CSNK2A1, CTNNA1, CTNND1, DLG5, DOCK5, ELMO2, F11R, FAM49B, FERMT1, FERMT2, FNDC3B, FRYL, GNA13, HNF1B, ILK, INADL, IQGAP1, IRF6, ITGA3, ITGAV, ITGB1, ITGB5, KIDINS220, KIRREL, KLF6, KMT2D, LATS2, LIMS1, LLGL2, LPAR1, LPAR2, MAP4K4, MARK2, MARK3, MECOM, MESDC2, MLLT4, MOB4, MPP5, MYO10, MYO9B, NCKAP1, NF2, NRP1, PAK2, PAK4, PARD3, PARD6B, PARVA, PAX8, PDCD10, PDCL, PHACTR4, PIGW, PKN2, PLXNA1, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAB11FIP1, RAC1, RALGAPB, RAPGEF1, RAPGEF2, RAPH1, RASAL2, RASSF7, RASSF8, RHOA, RHOC, RIC8A, RIPK4, RNF146, RSU1, SAV1, SGK223, SPTLC2, SPTSSA, TAOK1, TAX1BP3, TEAD1, TJP1, TLN1, TNS3, TP53BP2, TRIO, VCL, WASF2, WWTR1, XPR1, YES1",Thyroid,3.52E-07,7.67E-05
139,"ESR1, FOXA1, GATA3, GRHL2, LDB1, LMX1B, QRICH1, QSER1, RARA, SEPHS1, SPDEF, TFAP2A, TFAP2C, TOB1, TRPS1, ZNF652",Autonomic ganglia,3.70E-07,7.73E-05
140,"ASH1L, BAHD1, BAP1, BCL9L, BMI1, BRPF1, CCDC101, CCDC71L, CDYL, CITED2, CRAMP1L, DOT1L, EED, ERBB2, ERBB3, ESR1, EZH2, FOXA1, GATA3, GRHL1, GRHL2, HIST1H1B, ING5, JADE2, KAT6A, KAT6B, KAT7, KMT2A, KMT2D, LDB1, LMX1B, MEAF6, MED15, MED19, MEN1, MLLT1, MLLT10, MTF2, NSD1, PCGF1, PHLDA2, PSIP1, PYGO2, QRICH1, QSER1, RARA, RBM38, RING1, SEPHS1, SIAH1, SIRT1, SMARCE1, SMCHD1, SPDEF, SUPT20H, SUZ12, TADA1, TADA2B, TAF5L, TFAP2A, TFAP2C, TOB1, TRPS1, ZFP64, ZMIZ1, ZNF652",Breast,4.16E-07,0.000373
141,"ARID1A, ASH1L, BAHD1, BAP1, BCL11A, BCL2, BCL9L, BMI1, BRPF1, CCDC71L, CITED2, CRAMP1L, DOT1L, EED, ESR1, EZH2, FOXA1, GAB2, GATA3, GFI1, GRHL2, HIST1H1B, ING5, IRF8, JADE2, KAT6A, KAT6B, KAT7, KMT2A, KMT2D, LDB1, LMX1B, MAML1, MEAF6, MEF2D, MEN1, MLLT1, MLLT10, MORF4L1, MTA2, MTF2, NSD1, PCGF1, PRDM15, PSIP1, PYGO2, QRICH1, QSER1, RARA, RBM38, RING1, SEPHS1, SIAH1, SLC5A3, SMARCB1, SMARCE1, SMCHD1, SPDEF, STAT5B, SUZ12, TFAP2A, TFAP2C, TOB1, TRPS1, ZBTB2, ZFP64, ZMIZ1, ZNF652",Breast,4.29E-07,0.000373
142,"ABI1, ACTB, ACTR2, ACTR3, AHR, AIP, AJUBA, AMOTL2, ARHGAP21, ARHGAP29, ARHGAP35, ARHGEF12, ARHGEF7, ARIH1, ARNT, ARPC2, ARPC3, ARPC4, BCAR1, BCAR3, BRK1, BTBD3, BTBD9, CAB39, CAND1, CD151, CD44, CDC42, CDH1, CDH2, CMIP, COL4A3BP, COMMD3, CRB3, CRK, CRKL, CSK, CTNNA1, CTNND1, CUL3, CYFIP1, DAPK3, DLG5, DOCK5, ELMO2, ELMO3, F11R, FAM49B, FERMT1, FERMT2, FGFR1OP2, FHL2, FRMD6, FRYL, GNA13, GNB1, HSP90B1, ILK, INADL, IQGAP1, ITGA3, ITGAV, ITGB1, ITGB5, KCTD10, KCTD5, KIRREL, KLF6, LATS2, LIMS1, LLGL2, LPAR1, MAP4K4, MARK2, MARK3, MESDC2, MLLT4, MOB2, MOB4, MPP5, MYO10, MYO9A, MYO9B, NCKAP1, NF2, NRBP1, NRP1, PAK2, PAK4, PARD3, PARD6B, PARVA, PAWR, PAX8, PDCD10, PDCL, PI4KB, PKN2, PLXNA1, PPM1F, PRKCI, PTK2, PTPN12, PTPN14, PXN, RAC1, RALGAPB, RAP2B, RAPGEF1, RAPH1, RASAL2, RASSF8, RHOA, RHOG, RIC8A, RNF146, ROCK1, ROCK2, RSU1, SAV1, SGK223, SLMAP, SNX17, SPTLC2, SPTSSA, SRC, STIP1, STK11, STK24, STK38, STRIP1, TAOK1, TAOK2, TEAD1, TIPARP, TJP1, TLN1, TNS3, TP53BP2, TRIO, TSC22D2, VASP, VCL, WASF2, WNK1, WWC1, WWTR1, XPR1, YES1",Thyroid,4.37E-07,9.06E-05
143,"ALDH5A1, CDKAL1, MBOAT1, SOX4",Urinary tract,4.40E-07,0.00115
144,"ALDH5A1, CDKAL1, PRL, SOX4",Urinary tract,4.40E-07,0.00115
145,"ABCC9, C12orf77, C2CD5, CASC1, GYS2, IAPP, KCNJ8, KLHL42, MANSC4, SLCO1C1, SOX5, ST8SIA1",Thyroid,4.50E-07,9.06E-05
146,"BCAT1, C12orf77, CASC1, ERGIC2, IAPP, KLHL42, LMNTD1, LRMP, MANSC4, PTHLH, RASSF8, SOX5, TMTC1",Thyroid,4.88E-07,9.44E-05
147,"ABCC9, C12orf77, C2CD5, CASC1, ERGIC2, GYS2, IAPP, KCNJ8, KLHL42, LMO3, MANSC4, RASSF8, SLCO1C1, SOX5",Thyroid,5.25E-07,9.48E-05
148,"ABCC9, C12orf77, C2CD5, ERGIC2, GYS2, IAPP, KCNJ8, KLHL42, MANSC4, METTL20, RASSF8, SLCO1B3, SLCO1C1, SOX5",Thyroid,5.26E-07,9.48E-05
